               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/Bishop_mAP,    metrics/King_mAP,    metrics/Pawn_mAP,   metrics/Queen_mAP,    metrics/Rook_mAP,  metrics/Knight_mAP,metrics/Bishop_mAP_50, metrics/King_mAP_50, metrics/Pawn_mAP_50,metrics/Queen_mAP_50, metrics/Rook_mAP_50,metrics/Knight_mAP_50
                   0,             0.12288,             0.09926,            0.056473,                   0,                   0,                   0,                   0,              0.1132,            0.056899,            0.059685,              0.0991,              0.0001,              0.0001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   1,             0.12097,             0.11625,            0.057645,                   0,                   0,                   0,                   0,             0.11127,            0.057956,            0.059362,            0.097297,          0.00029703,          0.00029703,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   2,              0.1169,             0.12231,            0.056927,           0.0069444,            0.018519,            0.007851,           0.0007851,             0.10809,            0.059868,            0.058776,             0.09549,           0.0004901,           0.0004901,                   0,                   0,                   0,           0.0047106,                   0,                   0,                   0,                   0,                   0,            0.047106,                   0,                   0
                   3,             0.11686,             0.13118,            0.056685,           0.0059514,             0.02192,           0.0074773,           0.0023353,             0.10356,            0.062638,            0.058023,            0.093679,          0.00067921,          0.00067921,                   0,                   0,            0.001382,             0.01263,                   0,                   0,                   0,                   0,            0.002764,              0.0421,                   0,                   0
                   4,             0.11635,             0.10141,            0.056341,           0.0044186,            0.025321,           0.0069328,           0.0045103,            0.098369,            0.065794,            0.057278,            0.091864,          0.00086436,          0.00086436,                   0,                   0,            0.002042,             0.02502,                   0,                   0,                   0,                   0,            0.005854,            0.035743,                   0,                   0
                   5,             0.10814,             0.13821,            0.054949,           0.0052801,            0.035809,            0.016012,           0.0048791,            0.093147,            0.068273,            0.056565,            0.090046,           0.0010455,           0.0010455,                   0,            0.004587,           0.0016562,            0.023031,                   0,                   0,                   0,             0.04587,           0.0041405,            0.046062,                   0,                   0
                   6,             0.10741,             0.15286,            0.054007,           0.0070381,            0.075019,            0.022832,           0.0061257,            0.089185,            0.069284,            0.055917,            0.088223,           0.0012228,           0.0012228,                   0,            0.028821,           0.0028413,           0.0050925,                   0,                   0,                   0,            0.093965,            0.010111,            0.032915,                   0,                   0
                   7,             0.10344,             0.16576,             0.05312,           0.0097356,            0.082105,            0.030136,            0.010933,            0.084874,            0.069301,            0.055532,            0.086396,            0.001396,            0.001396,                   0,            0.058713,          0.00047399,           0.0064128,                   0,                   0,                   0,             0.16079,           0.0023699,            0.017651,                   0,                   0
                   8,            0.096698,             0.11469,             0.05398,           0.0093684,            0.075161,            0.030117,           0.0084953,            0.082401,            0.068954,            0.055204,            0.084565,           0.0015654,           0.0015654,                   0,            0.045204,          0.00034839,             0.00542,                   0,                   0,                   0,             0.15406,           0.0034839,            0.023158,                   0,                   0
                   9,            0.094822,            0.099545,            0.056166,            0.010842,            0.085506,            0.030975,            0.010815,            0.080212,            0.067729,            0.054321,            0.082731,           0.0017307,           0.0017307,                   0,             0.05788,            0.002181,           0.0048279,                   0,                   0,                   0,             0.16358,           0.0064088,            0.015859,                   0,                   0
                  10,            0.094709,             0.12695,             0.05298,            0.011521,              0.1062,            0.034796,            0.014704,            0.077092,            0.066108,            0.053202,            0.080892,           0.0018921,           0.0018921,                   0,            0.078314,           0.0059487,           0.0039616,                   0,                   0,                   0,             0.18293,            0.016291,           0.0095484,                   0,                   0
                  11,            0.092278,             0.13316,            0.051006,             0.01134,             0.08768,            0.026375,            0.008968,            0.075431,            0.061629,            0.052464,             0.07905,           0.0020495,           0.0020495,                   0,             0.04249,           0.0075601,           0.0037575,                   0,                   0,                   0,             0.13487,            0.017193,           0.0061892,                   0,                   0
                  12,            0.093503,             0.16603,            0.050153,            0.013626,             0.10402,            0.030635,           0.0075412,            0.073935,             0.05755,            0.051883,            0.077203,            0.002203,            0.002203,                   0,            0.029506,           0.0057308,             0.01001,                   0,                   0,                   0,             0.11151,            0.012496,            0.059804,                   0,                   0
                  13,            0.085262,             0.12247,            0.049513,            0.051752,            0.055272,             0.03781,            0.010887,            0.073066,            0.056553,            0.052077,            0.075353,           0.0023525,           0.0023525,                   0,            0.036747,            0.024604,           0.0039718,                   0,                   0,                   0,             0.14838,            0.064343,            0.014142,                   0,                   0
                  14,            0.087756,             0.15327,            0.047854,            0.068212,            0.059902,            0.040072,            0.015189,            0.072333,            0.055493,            0.052259,            0.073498,           0.0024981,           0.0024981,                   0,            0.070919,            0.011283,           0.0089314,                   0,                   0,                   0,             0.15349,            0.038875,            0.048061,                   0,                   0
                  15,            0.084148,             0.12857,            0.048468,            0.026254,            0.089071,            0.023346,           0.0068753,            0.071426,            0.064169,            0.053717,             0.07164,           0.0026396,           0.0026396,                   0,            0.014979,            0.018343,           0.0079309,                   0,                   0,                   0,            0.038562,             0.04842,            0.053095,                   0,                   0
                  16,            0.079136,             0.12912,            0.045933,             0.22823,            0.050642,            0.046616,            0.013798,            0.066241,            0.071622,            0.053695,            0.069777,           0.0027773,           0.0027773,                   0,            0.023618,            0.028563,            0.030608,                   0,                   0,                   0,            0.065055,            0.090107,             0.12453,                   0,                   0
                  17,            0.077986,             0.11456,            0.045453,            0.033017,            0.080735,            0.027403,           0.0069391,             0.07608,            0.080806,            0.053226,            0.067911,           0.0029109,           0.0029109,                   0,            0.014211,           0.0043638,             0.02306,                   0,                   0,                   0,            0.050781,            0.011036,              0.1026,                   0,                   0
                  18,             0.08379,             0.13608,            0.047838,             0.12246,             0.15712,            0.082104,            0.023447,            0.070103,            0.077505,             0.05297,            0.066041,           0.0030407,           0.0030407,                   0,            0.046038,            0.017521,            0.077123,                   0,                   0,                   0,              0.1041,            0.058958,             0.32957,                   0,                   0
                  19,            0.078553,             0.10785,            0.042832,            0.082728,              0.1062,            0.056474,             0.01642,            0.071227,            0.078406,            0.052491,            0.064166,           0.0031664,           0.0031664,                   0,            0.041488,           0.0084233,            0.048608,                   0,                   0,                   0,            0.091445,            0.036059,             0.21134,                   0,                   0
                  20,            0.075649,             0.11351,            0.045313,             0.12891,             0.13861,             0.10074,            0.043922,            0.065876,             0.07939,            0.053059,            0.062288,           0.0032882,           0.0032882,                   0,            0.077501,             0.01706,             0.16897,                   0,                   0,                   0,             0.17905,            0.058674,             0.36671,                   0,                   0
                  21,                0.07,             0.11759,            0.042817,             0.26138,             0.19756,             0.11718,            0.050523,            0.065913,            0.077321,            0.052163,            0.060406,            0.003406,            0.003406,                   0,            0.092676,            0.055319,             0.14574,           0.0094073,                   0,                   0,             0.22644,            0.086987,             0.36647,            0.023161,                   0
                  22,             0.07407,            0.095648,             0.04303,            0.078509,             0.17441,             0.10268,            0.047866,            0.063681,            0.074221,            0.051317,             0.05852,           0.0035199,           0.0035199,                   0,            0.049876,            0.005119,              0.2322,                   0,                   0,                   0,             0.15053,            0.010281,             0.45527,                   0,                   0
                  23,            0.070413,            0.094105,            0.041533,            0.049982,             0.14324,            0.048466,            0.015276,            0.071128,            0.074235,            0.050516,             0.05663,           0.0036298,           0.0036298,                   0,             0.02226,            0.037896,            0.031502,                   0,                   0,                   0,            0.095749,            0.068721,             0.12633,                   0,                   0
                  24,            0.074717,             0.11047,            0.045726,             0.28995,             0.19337,             0.09916,            0.057657,            0.065672,             0.07263,             0.05017,            0.054736,           0.0037358,           0.0037358,                   0,            0.070805,           0.0056701,             0.26947,                   0,                   0,                   0,             0.12788,            0.013734,             0.45335,                   0,                   0
                  25,            0.072849,            0.080637,            0.041499,            0.080756,             0.15712,             0.12001,            0.035155,            0.072408,            0.066452,            0.049097,            0.052838,           0.0038378,           0.0038378,                   0,            0.044299,             0.02534,             0.14129,                   0,                   0,                   0,             0.14034,            0.076421,             0.50331,                   0,                   0
                  26,            0.066487,            0.099543,            0.039571,             0.37402,             0.19416,             0.17265,             0.08452,            0.056979,             0.06587,            0.048598,            0.050936,           0.0039358,           0.0039358,                   0,            0.099282,            0.017615,             0.39022,                   0,                   0,                   0,             0.26958,            0.087273,             0.67902,                   0,                   0
