               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/dog_mAP,  metrics/person_mAP,     metrics/cat_mAP,      metrics/tv_mAP,     metrics/car_mAP,metrics/meatballs_mAP,metrics/marinara sauce_mAP,metrics/tomato soup_mAP,metrics/chicken noodle soup_mAP,metrics/french onion soup_mAP,metrics/chicken breast_mAP,    metrics/ribs_mAP,metrics/pulled pork_mAP,metrics/hamburger_mAP,  metrics/cavity_mAP,  metrics/Bishop_mAP,    metrics/King_mAP,       metrics/w_mAP,    metrics/Pawn_mAP,  metrics/Knight_mAP,    metrics/Rook_mAP,   metrics/Queen_mAP,       metrics/K_mAP,  metrics/dog_mAP_50,metrics/person_mAP_50,  metrics/cat_mAP_50,   metrics/tv_mAP_50,  metrics/car_mAP_50,metrics/meatballs_mAP_50,metrics/marinara sauce_mAP_50,metrics/tomato soup_mAP_50,metrics/chicken noodle soup_mAP_50,metrics/french onion soup_mAP_50,metrics/chicken breast_mAP_50, metrics/ribs_mAP_50,metrics/pulled pork_mAP_50,metrics/hamburger_mAP_50,metrics/cavity_mAP_50,metrics/Bishop_mAP_50, metrics/King_mAP_50,    metrics/w_mAP_50, metrics/Pawn_mAP_50,metrics/Knight_mAP_50, metrics/Rook_mAP_50,metrics/Queen_mAP_50,    metrics/K_mAP_50
                  10,            0.089421,              0.1227,            0.076983,             0.06603,             0.19671,            0.081754,            0.039019,            0.073261,            0.067236,            0.080098,            0.080892,           0.0018921,           0.0018921,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,            0.039019,                   0,            0.047872,            0.039019,             0.10734,                   0,           0.0043436,            0.074561,            0.039019,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,            0.081754,                   0,             0.10561,            0.081754,             0.25219,                   0,            0.015237,             0.11748,            0.081754
                  11,            0.086655,             0.13119,            0.073739,            0.029211,            0.074877,            0.032337,            0.011826,             0.07428,            0.062282,            0.079196,             0.07905,           0.0020495,           0.0020495,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,            0.011826,                   0,            0.023507,            0.011826,             0.02341,                   0,                   0,            0.024042,            0.011826,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,            0.032337,                   0,            0.072038,            0.032337,            0.070671,                   0,                   0,            0.051311,            0.032337
                  12,            0.089426,             0.15775,            0.071971,            0.035954,            0.089994,            0.027808,           0.0076074,            0.077181,            0.059107,            0.078344,            0.077203,            0.002203,            0.002203,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,           0.0076074,                   0,            0.012344,           0.0076074,            0.018209,                   0,                   0,            0.015091,           0.0076074,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,            0.027808,                   0,            0.061721,            0.027808,            0.048491,                   0,                   0,            0.056637,            0.027808
                  13,            0.084034,             0.10899,             0.07012,            0.034188,            0.046155,             0.02776,            0.013041,            0.077615,            0.062495,            0.078052,            0.075353,           0.0023525,           0.0023525,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,            0.013041,                   0,            0.049995,            0.013041,             0.01899,                   0,                   0,           0.0092621,            0.013041,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,             0.02776,                   0,             0.10478,             0.02776,            0.030905,                   0,                   0,            0.030874,             0.02776
                  14,            0.085838,             0.13496,            0.068575,            0.025463,            0.020692,            0.018661,           0.0095849,            0.082666,            0.073607,             0.07654,            0.073498,           0.0024981,           0.0024981,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,           0.0095849,                   0,            0.045541,           0.0095849,            0.011968,                   0,                   0,                   0,           0.0095849,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,            0.018661,                   0,            0.091082,            0.018661,            0.020884,                   0,                   0,                   0,            0.018661
                  15,            0.080983,             0.12106,            0.067778,            0.068646,            0.020692,            0.016011,           0.0046612,            0.078446,            0.082794,            0.074477,             0.07164,           0.0026396,           0.0026396,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,           0.0046612,                   0,            0.020363,           0.0046612,           0.0076043,                   0,                   0,                   0,           0.0046612,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,            0.016011,                   0,            0.079032,            0.016011,            0.017032,                   0,                   0,                   0,            0.016011
                  16,            0.077247,              0.1274,            0.063802,            0.022917,            0.041525,            0.021735,           0.0061077,            0.080259,            0.098736,            0.072035,            0.069777,           0.0027773,           0.0027773,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,           0.0061077,                   0,            0.029809,           0.0061077,           0.0068371,                   0,                   0,                   0,           0.0061077,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,            0.021735,                   0,             0.10854,            0.021735,            0.021872,                   0,                   0,                   0,            0.021735
                  17,            0.075644,             0.11218,            0.062232,             0.02033,            0.041525,             0.01611,           0.0054771,             0.07796,            0.096579,            0.069924,            0.067911,           0.0029109,           0.0029109,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,           0.0054771,                   0,            0.024552,           0.0054771,           0.0083106,                   0,                   0,                   0,           0.0054771,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,             0.01611,                   0,            0.078633,             0.01611,            0.018025,                   0,                   0,                   0,             0.01611
                  18,            0.077812,             0.13731,            0.064909,             0.04311,             0.17441,            0.062697,            0.014923,            0.067246,            0.091909,            0.068172,            0.066041,           0.0030407,           0.0030407,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,            0.014923,                   0,            0.037859,            0.014923,            0.032069,                   0,                   0,            0.019609,            0.014923,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,            0.062697,                   0,             0.16788,            0.062697,             0.11113,                   0,                   0,            0.097171,            0.062697
                  19,            0.073029,             0.10899,            0.056335,             0.30821,             0.12833,             0.12104,            0.027389,            0.076327,            0.091978,            0.066249,            0.064166,           0.0031664,           0.0031664,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,            0.027389,                   0,            0.081936,            0.027389,            0.036634,                   0,            0.038018,           0.0077492,            0.027389,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,             0.12104,                   0,             0.36403,             0.12104,             0.10911,                   0,             0.19009,            0.063037,             0.12104
                  20,            0.073303,             0.11309,            0.058704,              0.2863,             0.13506,             0.13364,            0.031819,            0.075755,            0.094607,            0.065313,            0.062288,           0.0032882,           0.0032882,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,            0.031819,                   0,            0.093482,            0.031819,            0.033253,                   0,            0.038856,            0.025323,            0.031819,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,             0.13364,                   0,             0.39267,             0.13364,              0.1089,                   0,              0.1882,             0.11204,             0.13364
                  21,            0.070378,             0.11767,            0.055695,             0.28058,             0.13828,            0.090301,            0.032089,            0.076916,            0.086634,            0.065234,            0.060406,            0.003406,            0.003406,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,            0.032089,                   0,             0.14166,            0.032089,           0.0070463,                   0,            0.038218,           0.0056041,            0.032089,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,            0.090301,                   0,             0.40171,            0.090301,            0.029974,                   0,            0.091437,             0.01868,            0.090301
                  22,            0.073254,            0.098852,            0.055456,             0.78273,            0.071429,             0.14223,            0.050352,            0.080514,            0.081332,            0.064417,             0.05852,           0.0035199,           0.0035199,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,            0.050352,                   0,            0.081407,            0.050352,             0.16777,                   0,            0.030731,              0.0222,            0.050352,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,             0.14223,                   0,             0.23566,             0.14223,             0.42905,                   0,            0.080367,             0.10833,             0.14223
                  23,            0.070336,            0.092967,            0.051921,             0.38429,             0.36891,             0.10763,            0.033276,            0.068394,            0.073575,             0.06282,             0.05663,           0.0036298,           0.0036298,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.033276,            0.064102,              0.0414,            0.033276,             0.04721,                   0,            0.010158,            0.036789,            0.033276,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.10763,             0.27623,             0.15055,             0.10763,             0.11601,                   0,            0.029297,            0.073699,             0.10763
                  24,            0.072253,             0.11303,             0.05655,             0.57267,             0.16865,             0.15798,            0.061442,            0.073206,            0.069544,            0.061706,            0.054736,           0.0037358,           0.0037358,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,            0.061442,                   0,             0.11089,            0.061442,             0.19629,                   0,            0.037104,            0.024366,            0.061442,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,             0.15798,                   0,             0.28206,             0.15798,             0.42874,                   0,             0.08053,             0.15652,             0.15798
                  25,            0.067448,            0.079841,            0.049748,            0.031578,             0.35384,            0.047056,             0.01822,            0.077888,            0.066143,            0.059162,            0.052838,           0.0038378,           0.0038378,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,             0.01822,                   0,            0.038938,             0.01822,            0.030161,                   0,           0.0066217,            0.033601,             0.01822,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,            0.047056,                   0,             0.11319,            0.047056,             0.07678,                   0,            0.017909,             0.07446,            0.047056
                  26,            0.064452,            0.097735,            0.047586,             0.93966,            0.071429,             0.12666,             0.04543,            0.068202,            0.057508,            0.058743,            0.050936,           0.0039358,           0.0039358,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,                   0,            0.044315,             0.04543,             0.16575,                   0,             0.01266,            0.049858,             0.04543,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,                   0,              0.1474,             0.12666,             0.43092,                   0,             0.03246,             0.14917,             0.12666
                  27,            0.067694,             0.10773,            0.046495,             0.93966,            0.071429,             0.12666,             0.04543,            0.068202,            0.057508,            0.058743,             0.04903,           0.0040299,           0.0040299,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,             0.04543,                   0,            0.044315,             0.04543,             0.16575,                   0,             0.01266,            0.049858,             0.04543,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,             0.12666,                   0,              0.1474,             0.12666,             0.43092,                   0,             0.03246,             0.14917,             0.12666
                  28,            0.068604,             0.11829,            0.047569,            0.028837,             0.32606,            0.038386,            0.012525,            0.076814,            0.061497,            0.056576,             0.04712,             0.00412,             0.00412,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,            0.012525,                   0,            0.020685,            0.012525,            0.022041,                   0,           0.0047793,            0.027644,            0.012525,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,            0.038386,                   0,            0.057094,            0.038386,            0.056191,                   0,            0.014827,              0.1022,            0.038386
                  29,            0.070565,             0.10563,            0.049431,             0.40958,             0.16284,             0.10048,            0.039641,            0.065123,            0.058332,            0.056381,            0.045206,           0.0042061,           0.0042061,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,                   0,            0.062884,            0.039641,            0.056135,                   0,            0.033424,            0.085403,            0.039641,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,                   0,             0.22372,             0.10048,            0.088997,                   0,            0.077864,             0.21228,             0.10048
                  30,            0.067884,             0.12814,            0.045217,             0.40958,             0.16284,             0.10048,            0.039641,            0.065123,            0.058332,            0.056381,            0.043288,           0.0042883,           0.0042883,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,            0.039641,                   0,            0.062884,            0.039641,            0.056135,                   0,            0.033424,            0.085403,            0.039641,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,             0.10048,                   0,             0.22372,             0.10048,            0.088997,                   0,            0.077864,             0.21228,             0.10048
                  31,            0.066275,             0.10117,            0.048234,            0.033791,             0.19416,            0.063162,            0.017324,             0.07249,            0.068663,             0.05484,            0.041367,           0.0043665,           0.0043665,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,            0.017324,                   0,             0.03661,            0.017324,           0.0090663,                   0,                   0,            0.058269,            0.017324,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,            0.063162,                   0,             0.13707,            0.063162,            0.035841,                   0,                   0,             0.20606,            0.063162
                  32,            0.065131,             0.10112,            0.050758,            0.014677,             0.03458,            0.016554,           0.0051561,            0.073493,             0.10362,            0.054341,            0.039441,           0.0044408,           0.0044408,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,                   0,            0.011052,           0.0051561,            0.019884,                   0,                   0,                   0,           0.0051561,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,                   0,            0.051173,            0.016554,            0.048148,                   0,                   0,                   0,            0.016554
                  33,            0.072023,             0.10183,            0.041517,            0.014677,             0.03458,            0.016554,           0.0051561,            0.073493,             0.10362,            0.054341,            0.037511,           0.0045111,           0.0045111,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,           0.0051561,                   0,            0.011052,           0.0051561,            0.019884,                   0,                   0,                   0,           0.0051561,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,            0.016554,                   0,            0.051173,            0.016554,            0.048148,                   0,                   0,                   0,            0.016554
                  34,            0.068044,            0.099646,            0.043717,            0.040622,            0.053099,             0.04853,            0.012506,            0.063062,             0.10933,            0.052721,            0.035577,           0.0045775,           0.0045775,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,            0.012506,                   0,            0.045574,            0.012506,            0.009029,                   0,                   0,            0.020435,            0.012506,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,             0.04853,                   0,             0.15016,             0.04853,            0.038849,                   0,                   0,             0.10218,             0.04853
