               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/dog_mAP,  metrics/person_mAP,     metrics/cat_mAP,      metrics/tv_mAP,     metrics/car_mAP,metrics/meatballs_mAP,metrics/marinara sauce_mAP,metrics/tomato soup_mAP,metrics/chicken noodle soup_mAP,metrics/french onion soup_mAP,metrics/chicken breast_mAP,    metrics/ribs_mAP,metrics/pulled pork_mAP,metrics/hamburger_mAP,  metrics/cavity_mAP,  metrics/Bishop_mAP,    metrics/King_mAP,       metrics/w_mAP,    metrics/Pawn_mAP,  metrics/Knight_mAP,    metrics/Rook_mAP,   metrics/Queen_mAP,       metrics/K_mAP,  metrics/dog_mAP_50,metrics/person_mAP_50,  metrics/cat_mAP_50,   metrics/tv_mAP_50,  metrics/car_mAP_50,metrics/meatballs_mAP_50,metrics/marinara sauce_mAP_50,metrics/tomato soup_mAP_50,metrics/chicken noodle soup_mAP_50,metrics/french onion soup_mAP_50,metrics/chicken breast_mAP_50, metrics/ribs_mAP_50,metrics/pulled pork_mAP_50,metrics/hamburger_mAP_50,metrics/cavity_mAP_50,metrics/Bishop_mAP_50, metrics/King_mAP_50,    metrics/w_mAP_50, metrics/Pawn_mAP_50,metrics/Knight_mAP_50, metrics/Rook_mAP_50,metrics/Queen_mAP_50,    metrics/K_mAP_50
                   0,             0.10626,               0.145,            0.084151,                   0,                   0,                   0,                   0,             0.10333,            0.066248,            0.087455,              0.0991,              0.0001,              0.0001,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0,                   0
                   1,             0.10464,             0.17069,            0.086086,           0.0011111,            0.027778,           0.0011355,          0.00011355,             0.10087,            0.068508,            0.087116,            0.097297,          0.00029703,          0.00029703,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,          0.00011355,                   0,                   0,          0.00011355,                   0,                   0,          0.00068132,                   0,          0.00011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,           0.0011355,                   0,                   0,           0.0011355,                   0,                   0,           0.0068132,                   0,           0.0011355
                   2,             0.10333,             0.16342,             0.08587,           0.0023981,            0.055556,           0.0017812,          0.00042857,            0.097207,            0.071128,            0.086552,             0.09549,           0.0004901,           0.0004901,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,          0.00042857,                   0,                   0,          0.00042857,                   0,                   0,           0.0025714,                   0,          0.00042857,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,           0.0017812,                   0,                   0,           0.0017812,                   0,                   0,            0.010687,                   0,           0.0017812
                   3,             0.10181,             0.17322,              0.0852,            0.002451,            0.055556,           0.0018373,          0.00070985,            0.092747,            0.073889,            0.085802,            0.093679,          0.00067921,          0.00067921,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,          0.00070985,                   0,                   0,          0.00070985,                   0,                   0,           0.0042591,                   0,          0.00070985,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,           0.0018373,                   0,                   0,           0.0018373,                   0,                   0,            0.011024,                   0,           0.0018373
                   4,             0.10282,              0.1336,            0.083453,           0.0025972,            0.069444,           0.0020016,          0.00075285,            0.088542,            0.076268,            0.085302,            0.091864,          0.00086436,          0.00086436,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,          0.00075285,           0.0013442,                   0,          0.00075285,                   0,                   0,           0.0031729,                   0,          0.00075285,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0020016,           0.0067212,                   0,           0.0020016,                   0,                   0,           0.0052881,                   0,           0.0020016
                   5,            0.098213,             0.16301,            0.082684,            0.018036,            0.072846,            0.011574,           0.0020209,            0.086219,            0.076601,            0.084834,            0.090046,           0.0010455,           0.0010455,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0020209,           0.0030484,                   0,           0.0020209,           0.0046887,                   0,           0.0043883,                   0,           0.0020209,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.011574,            0.015242,                   0,            0.011574,            0.046887,                   0,           0.0073138,                   0,            0.011574
                   6,            0.096822,             0.17385,            0.080539,            0.075562,            0.079365,            0.054129,           0.0099759,            0.083538,            0.076182,            0.084098,            0.088223,           0.0012228,           0.0012228,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,           0.0099759,                   0,                   0,           0.0099759,            0.051669,                   0,           0.0081865,                   0,           0.0099759,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,            0.054129,                   0,                   0,            0.054129,             0.30428,                   0,            0.020492,                   0,            0.054129
                   7,            0.096694,             0.17771,            0.080129,            0.050353,            0.099395,            0.060279,            0.036558,            0.079969,            0.074218,            0.082398,            0.086396,            0.001396,            0.001396,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,            0.036558,                   0,                   0,            0.036558,            0.024013,                   0,           0.0092028,             0.18613,            0.036558,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,            0.060279,                   0,                   0,            0.060279,            0.080043,                   0,            0.023095,             0.25853,            0.060279
                   8,             0.09188,             0.11503,               0.079,            0.067352,             0.19244,             0.08317,            0.040413,            0.077854,            0.072553,            0.081741,            0.084565,           0.0015654,           0.0015654,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,            0.040413,           0.0010645,            0.027777,            0.040413,            0.051276,            0.013402,           0.0057296,             0.14323,            0.040413,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,             0.08317,           0.0053226,            0.034722,             0.08317,             0.18625,             0.06701,            0.012821,              0.1929,             0.08317
                   9,            0.090562,             0.10207,            0.077299,            0.070363,              0.2616,            0.097446,            0.050945,            0.075228,            0.070804,            0.081023,            0.082731,           0.0017307,           0.0017307,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,            0.050945,           0.0070316,            0.047235,            0.050945,            0.077798,            0.020439,           0.0045966,             0.14857,            0.050945,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.097446,            0.038696,             0.07492,            0.097446,             0.21254,            0.068129,            0.013769,             0.17663,            0.097446
